name,company,quantity,price
F1,A,609,0.26
F1,B,649,0.3
F1,C,505,0.3
F1,D,539,0.3
F1,E,584,0.29
F1,F,577,0.26
F1,G,653,0.3
F1,H,0,0.27
F1,I,820,0.25
F1,J,710,0.26
F2,A,881,0.28
F2,B,950,0.28
F2,C,629,0.32
F2,D,871,0.31
F2,E,0,0.32
F2,F,569,0.32
F2,G,712,0.31
F2,H,0,0.3
F2,I,798,0.32
F2,J,707,0.32
F3,A,802,0.44
F3,B,522,0.45
F3,C,654,0.43
F3,D,969,0.42
F3,E,937,0.44
F3,F,527,0.44
F3,G,822,0.44
F3,H,0,0.41
F3,I,911,0.41
F3,J,554,0.42
F4,A,533,1.5
F4,B,974,1.5
F4,C,985,1.4
F4,D,961,1.6
F4,E,944,1.6
F4,F,518,1.3
F4,G,853,1.5
F4,H,850,1.4
F4,I,792,1.6
F4,J,505,1.5
F5,A,731,0.56
F5,B,526,0.59
F5,C,731,0.58
F5,D,506,0.56
F5,E,538,0.58
F5,F,612,0.56
F5,G,699,0.59
F5,H,667,0.58
F5,I,861,0.58
F5,J,560,0.6
F6,A,544,1.9
F6,B,893,1.9
F6,C,565,2.1
F6,D,0,2.1
F6,E,553,2.1
F6,F,677,2.1
F6,G,685,2.1
F6,H,856,2
F6,I,937,2.1
F6,J,612,1.9
F7,A,581,1.3
F7,B,880,1.2
F7,C,663,1.3
F7,D,888,1.3
F7,E,646,1.1
F7,F,781,1.3
F7,G,861,1.1
F7,H,716,1.1
F7,I,599,1.3
F7,J,0,1.1
F8,A,754,0.7
F8,B,628,0.67
F8,C,799,0.69
F8,D,973,0.69
F8,E,990,0.7
F8,F,593,0.69
F8,G,688,0.7
F8,H,971,0.67
F8,I,907,0.71
F8,J,741,0.67
F9,A,774,0.87
F9,B,0,0.83
F9,C,771,0.84
F9,D,951,0.86
F9,E,589,0.86
F9,F,686,0.83
F9,G,667,0.87
F9,H,819,0.88
F9,I,900,0.88
F9,J,512,0.81
F10,A,649,0.22
F10,B,613,0.2
F10,C,847,0.22
F10,D,517,0.2
F10,E,835,0.22
F10,F,969,0.22
F10,G,0,0.2
F10,H,543,0.21
F10,I,528,0.2
F10,J,676,0.21
F11,A,865,6.3
F11,B,688,5.8
F11,C,744,5.6
F11,D,972,6.4
F11,E,576,6
F11,F,507,5.8
F11,G,753,6.5
F11,H,907,6.1
F11,I,573,6.2
F11,J,568,6.5
F12,A,896,0.2
F12,B,0,0.2
F12,C,955,0.19
